model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,jpeg_compression,4,N/A,32.92,2.717289811448206,3292,10000,2025-09-09 00:34:25
expert_1,multiplicative,1.0,1,DenseNet121,corruption,N/A,jpeg_compression,5,N/A,48.83,1.850751934172232,4883,10000,2025-09-09 00:34:25
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,gaussian_noise,1,N/A,33.15,2.6507482438147822,3315,10000,2025-09-09 01:29:54
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,gaussian_noise,2,N/A,20.49,3.5393733374680143,2049,10000,2025-09-09 01:29:54
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,gaussian_noise,3,N/A,12.03,4.364641959154153,1203,10000,2025-09-09 01:29:54
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,gaussian_noise,4,N/A,8.94,4.722959714599803,894,10000,2025-09-09 01:29:54
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,gaussian_noise,5,N/A,7.4,5.047553068474878,740,10000,2025-09-09 01:29:54
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,shot_noise,1,N/A,10.89,4.455410504642921,1089,10000,2025-09-09 01:29:54
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,shot_noise,2,N/A,4.18,5.741068097609508,418,10000,2025-09-09 01:29:54
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,shot_noise,3,N/A,1.81,6.678175268293936,181,10000,2025-09-09 01:29:54
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,shot_noise,4,N/A,1.28,7.163297508336321,128,10000,2025-09-09 01:29:54
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,shot_noise,5,N/A,1.02,7.212101827693891,102,10000,2025-09-09 01:29:54
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,impulse_noise,1,N/A,43.57,2.1212926152386244,4357,10000,2025-09-09 01:29:54
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,impulse_noise,2,N/A,23.85,3.0823073628582534,2385,10000,2025-09-09 01:29:54
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,impulse_noise,3,N/A,10.18,4.193374908423122,1018,10000,2025-09-09 01:29:54
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,impulse_noise,4,N/A,1.87,6.221058091030845,187,10000,2025-09-09 01:29:54
expert_2,multiplicative,1.0,2,DenseNet121,corruption,N/A,impulse_noise,5,N/A,1.14,6.9476381193233445,114,10000,2025-09-09 01:29:54
