model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,contrast,1,N/A,57.08,1.5232694858237157,5708,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,contrast,2,N/A,56.83,1.5376464822624303,5683,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,contrast,3,N/A,56.49,1.5578545286685606,5649,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,contrast,4,N/A,55.72,1.5825664982011047,5572,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,contrast,5,N/A,54.99,1.612607302544992,5499,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,elastic_transform,1,N/A,16.92,3.930582734602916,1692,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,elastic_transform,2,N/A,5.85,6.037064564378956,585,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,elastic_transform,3,N/A,3.63,6.71508625489247,363,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,elastic_transform,4,N/A,3.18,7.001704053033756,318,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,elastic_transform,5,N/A,2.74,7.195005018499833,274,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,pixelate,1,N/A,5.72,7.305925085574766,572,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,pixelate,2,N/A,3.73,7.507430855231949,373,10000,2025-09-08 23:35:14
